cyclone_id,timestamp,vmax_curr,actual_plus_24h,actual_dv24,Baseline Clean K=7_pred_dv24,Baseline Clean K=7_pred_v24,Baseline Clean K=7_trend,Baseline Clean K=7_ri_prob,Exp 1A: Abs+Delta (Recon)_pred_dv24,Exp 1A: Abs+Delta (Recon)_pred_v24,Exp 1A: Abs+Delta (Recon)_trend,Exp 1A: Abs+Delta (Recon)_ri_prob,Exp 1A: Abs+Delta (Direct)_pred_dv24,Exp 1A: Abs+Delta (Direct)_pred_v24,Exp 1A: Abs+Delta (Direct)_trend,Exp 1A: Abs+Delta (Direct)_ri_prob,Exp 1B: Delta-Only (Recon)_pred_dv24,Exp 1B: Delta-Only (Recon)_pred_v24,Exp 1B: Delta-Only (Recon)_trend,Exp 1B: Delta-Only (Recon)_ri_prob,Exp 2: Weighted (moderate)_pred_dv24,Exp 2: Weighted (moderate)_pred_v24,Exp 2: Weighted (moderate)_trend,Exp 2: Weighted (moderate)_ri_prob,Exp 2: Weighted (strong)_pred_dv24,Exp 2: Weighted (strong)_pred_v24,Exp 2: Weighted (strong)_trend,Exp 2: Weighted (strong)_ri_prob
201613S,2016021518,55.0,85.0,30.0,-8.380000000000003,46.62,STAB,3.27e-05,-7.2539062,47.746094,STAB,0.0002632141,-11.75,43.25,STAB,0.0002632141,1.7753906,56.77539,STAB,0.00058174133,-0.24560547,54.754395,STAB,0.00024914742,-2.1933594,52.80664,STAB,0.00018966198
201615S,2016031606,65.0,125.0,60.0,23.400000000000006,88.4,INTE,0.2632,17.515625,82.515625,INTE,0.09552002,16.900000000000006,81.9,INTE,0.09552002,22.828125,87.828125,INTE,0.52197266,20.46875,85.46875,INTE,0.18859863,23.078125,88.078125,INTE,0.41552734
200519S,2005021400,70.0,125.0,55.0,37.8,107.8,INTE,0.9995,33.4375,103.4375,INTE,0.96240234,39.06,109.06,INTE,0.96240234,32.3125,102.3125,INTE,0.9814453,31.21875,101.21875,INTE,0.9716797,32.71875,102.71875,INTE,0.9785156
200611E,2006082818,40.0,95.0,55.0,9.119999999999997,49.12,INTE,0.00053,17.390625,57.390625,INTE,0.04083252,15.75,55.75,INTE,0.04083252,17.921875,57.921875,INTE,0.02998352,21.328125,61.328125,INTE,0.36157227,20.921875,60.921875,INTE,0.1270752
200720S,2007032506,35.0,90.0,55.0,22.5,57.5,INTE,0.3206,26.828125,61.828125,INTE,0.7939453,28.75,63.75,INTE,0.7939453,28.109375,63.109375,INTE,0.8598633,24.703125,59.703125,INTE,0.44189453,30.515625,65.515625,INTE,0.9482422
200908E,2009080418,65.0,115.0,50.0,23.939999999999998,88.94,INTE,0.2673,14.578125,79.578125,INTE,0.01864624,13.75,78.75,INTE,0.01864624,19.34375,84.34375,INTE,0.12011719,20.9375,85.9375,INTE,0.20288086,16.828125,81.828125,INTE,0.025222778
201311W,2013080912,35.0,90.0,55.0,12.700000000000003,47.7,INTE,0.01851,16.4375,51.4375,INTE,0.15539551,14.5,49.5,INTE,0.15539551,21.203125,56.203125,INTE,0.16540527,20.65625,55.65625,INTE,0.11553955,24.8125,59.8125,INTE,0.49145508
200518S,2005021306,45.0,120.0,75.0,14.619999999999997,59.62,INTE,0.00082,4.8515625,49.851562,STAB,0.0018310547,6.780000000000001,51.78,STAB,0.0018310547,9.5625,54.5625,INTE,0.0039138794,11.484375,56.484375,INTE,0.005344391,11.109375,56.109375,INTE,0.0038547516
200310L,2003083000,65.0,110.0,45.0,25.400000000000006,90.4,INTE,0.3926,19.546875,84.546875,INTE,0.15148926,17.439999999999998,82.44,INTE,0.15148926,20.328125,85.328125,INTE,0.5229492,24.109375,89.109375,INTE,0.83447266,24.703125,89.703125,INTE,0.6113281
200625W,2006120900,65.0,100.0,35.0,37.3,102.3,INTE,1.0,30.140625,95.140625,INTE,0.91796875,32.0,97.0,INTE,0.91796875,31.765625,96.765625,INTE,0.9785156,29.453125,94.453125,INTE,0.96533203,36.28125,101.28125,INTE,0.9951172
