cyclone_id,cyclone_name,dataset_split,sequence_index,forecast_origin_timestamp_t,plotted_x_coordinate_hours,input_timestamp_t_minus_12h,input_timestamp_t_minus_9h,input_timestamp_t_minus_6h,input_timestamp_t_minus_3h,input_timestamp_t,actual_vmax_t,actual_vmax_t_plus_3h,actual_vmax_t_plus_6h,actual_vmax_t_plus_9h,actual_vmax_t_plus_12h,actual_vmax_t_plus_15h,actual_vmax_t_plus_18h,actual_vmax_t_plus_21h,actual_vmax_t_plus_24h,target_timestamp_plus_6h,target_timestamp_plus_12h,target_timestamp_plus_24h,transformer_pred_plus_6h,transformer_pred_plus_12h,transformer_pred_plus_24h,gru_pred_plus_6h,gru_pred_plus_12h,gru_pred_plus_24h,persistence_pred_plus_6h,persistence_pred_plus_12h,persistence_pred_plus_24h,plotted_target_timestamp_in_graph
201003I,Super Cyclone Phet,Held-Out TEST Set,10,2010060112,30.0,2010060100,2010060103,2010060106,2010060109,2010060112,60.0,68.0,75.0,83.0,90.0,103.0,115.0,120.0,125.0,2010060118,2010060200,2010060212,77.72,80.43,83.38,74.72,82.49,94.22,60.0,60.0,60.0,"{'+6h_subplot_target_timestamp': '2010060118', '+12h_subplot_target_timestamp': '2010060200', '+24h_subplot_target_timestamp': '2010060212', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,11,2010060115,33.0,2010060103,2010060106,2010060109,2010060112,2010060115,68.0,75.0,83.0,90.0,103.0,115.0,120.0,125.0,123.0,2010060121,2010060203,2010060215,76.85,77.93,77.55,72.04,80.1,92.56,68.0,68.0,68.0,"{'+6h_subplot_target_timestamp': '2010060121', '+12h_subplot_target_timestamp': '2010060203', '+24h_subplot_target_timestamp': '2010060215', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,12,2010060118,36.0,2010060106,2010060109,2010060112,2010060115,2010060118,75.0,83.0,90.0,103.0,115.0,120.0,125.0,123.0,120.0,2010060200,2010060206,2010060218,74.38,77.43,81.45,71.92,81.5,96.76,75.0,75.0,75.0,"{'+6h_subplot_target_timestamp': '2010060200', '+12h_subplot_target_timestamp': '2010060206', '+24h_subplot_target_timestamp': '2010060218', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,13,2010060121,39.0,2010060109,2010060112,2010060115,2010060118,2010060121,83.0,90.0,103.0,115.0,120.0,125.0,123.0,120.0,120.0,2010060203,2010060209,2010060221,77.79,82.32,89.29,82.32,91.45,104.85,83.0,83.0,83.0,"{'+6h_subplot_target_timestamp': '2010060203', '+12h_subplot_target_timestamp': '2010060209', '+24h_subplot_target_timestamp': '2010060221', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,14,2010060200,42.0,2010060112,2010060115,2010060118,2010060121,2010060200,90.0,103.0,115.0,120.0,125.0,123.0,120.0,120.0,120.0,2010060206,2010060212,2010060300,91.43,96.01,101.86,94.37,100.84,108.39,90.0,90.0,90.0,"{'+6h_subplot_target_timestamp': '2010060206', '+12h_subplot_target_timestamp': '2010060212', '+24h_subplot_target_timestamp': '2010060300', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,15,2010060203,45.0,2010060115,2010060118,2010060121,2010060200,2010060203,103.0,115.0,120.0,125.0,123.0,120.0,120.0,120.0,118.0,2010060209,2010060215,2010060303,94.92,100.58,108.44,97.07,103.73,111.39,103.0,103.0,103.0,"{'+6h_subplot_target_timestamp': '2010060209', '+12h_subplot_target_timestamp': '2010060215', '+24h_subplot_target_timestamp': '2010060303', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,16,2010060206,48.0,2010060118,2010060121,2010060200,2010060203,2010060206,115.0,120.0,125.0,123.0,120.0,120.0,120.0,118.0,115.0,2010060212,2010060218,2010060306,111.09,114.44,116.0,110.61,116.33,121.09,115.0,115.0,115.0,"{'+6h_subplot_target_timestamp': '2010060212', '+12h_subplot_target_timestamp': '2010060218', '+24h_subplot_target_timestamp': '2010060306', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,17,2010060209,51.0,2010060121,2010060200,2010060203,2010060206,2010060209,120.0,125.0,123.0,120.0,120.0,120.0,118.0,115.0,113.0,2010060215,2010060221,2010060309,120.92,115.01,97.89,115.58,115.13,108.34,120.0,120.0,120.0,"{'+6h_subplot_target_timestamp': '2010060215', '+12h_subplot_target_timestamp': '2010060221', '+24h_subplot_target_timestamp': '2010060309', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,18,2010060212,54.0,2010060200,2010060203,2010060206,2010060209,2010060212,125.0,123.0,120.0,120.0,120.0,118.0,115.0,113.0,110.0,2010060218,2010060300,2010060312,119.13,106.48,78.94,116.39,111.68,97.17,125.0,125.0,125.0,"{'+6h_subplot_target_timestamp': '2010060218', '+12h_subplot_target_timestamp': '2010060300', '+24h_subplot_target_timestamp': '2010060312', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,19,2010060215,57.0,2010060203,2010060206,2010060209,2010060212,2010060215,123.0,120.0,120.0,120.0,118.0,115.0,113.0,110.0,108.0,2010060221,2010060303,2010060315,107.15,92.46,63.68,105.57,96.88,76.49,123.0,123.0,123.0,"{'+6h_subplot_target_timestamp': '2010060221', '+12h_subplot_target_timestamp': '2010060303', '+24h_subplot_target_timestamp': '2010060315', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,20,2010060218,60.0,2010060206,2010060209,2010060212,2010060215,2010060218,120.0,120.0,120.0,118.0,115.0,113.0,110.0,108.0,105.0,2010060300,2010060306,2010060318,95.96,81.5,54.47,84.53,73.34,50.12,120.0,120.0,120.0,"{'+6h_subplot_target_timestamp': '2010060300', '+12h_subplot_target_timestamp': '2010060306', '+24h_subplot_target_timestamp': '2010060318', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,21,2010060221,63.0,2010060209,2010060212,2010060215,2010060218,2010060221,120.0,120.0,118.0,115.0,113.0,110.0,108.0,105.0,98.0,2010060303,2010060309,2010060321,86.68,74.06,50.52,76.76,66.54,45.58,120.0,120.0,120.0,"{'+6h_subplot_target_timestamp': '2010060303', '+12h_subplot_target_timestamp': '2010060309', '+24h_subplot_target_timestamp': '2010060321', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,22,2010060300,66.0,2010060212,2010060215,2010060218,2010060221,2010060300,120.0,118.0,115.0,113.0,110.0,108.0,105.0,98.0,90.0,2010060306,2010060312,2010060400,72.57,62.59,44.09,63.46,54.64,36.91,120.0,120.0,120.0,"{'+6h_subplot_target_timestamp': '2010060306', '+12h_subplot_target_timestamp': '2010060312', '+24h_subplot_target_timestamp': '2010060400', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,23,2010060303,69.0,2010060215,2010060218,2010060221,2010060300,2010060303,118.0,115.0,113.0,110.0,108.0,105.0,98.0,90.0,83.0,2010060309,2010060315,2010060403,65.1,61.15,51.94,58.71,52.22,38.87,118.0,118.0,118.0,"{'+6h_subplot_target_timestamp': '2010060309', '+12h_subplot_target_timestamp': '2010060315', '+24h_subplot_target_timestamp': '2010060403', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,24,2010060306,72.0,2010060218,2010060221,2010060300,2010060303,2010060306,115.0,113.0,110.0,108.0,105.0,98.0,90.0,83.0,75.0,2010060312,2010060318,2010060406,65.04,62.41,55.44,55.28,51.03,41.63,115.0,115.0,115.0,"{'+6h_subplot_target_timestamp': '2010060312', '+12h_subplot_target_timestamp': '2010060318', '+24h_subplot_target_timestamp': '2010060406', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,25,2010060309,75.0,2010060221,2010060300,2010060303,2010060306,2010060309,113.0,110.0,108.0,105.0,98.0,90.0,83.0,75.0,70.0,2010060315,2010060321,2010060409,65.62,62.88,55.67,61.12,56.42,45.95,113.0,113.0,113.0,"{'+6h_subplot_target_timestamp': '2010060315', '+12h_subplot_target_timestamp': '2010060321', '+24h_subplot_target_timestamp': '2010060409', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,26,2010060312,78.0,2010060300,2010060303,2010060306,2010060309,2010060312,110.0,108.0,105.0,98.0,90.0,83.0,75.0,70.0,65.0,2010060318,2010060400,2010060412,72.19,68.45,59.05,63.55,59.43,49.81,110.0,110.0,110.0,"{'+6h_subplot_target_timestamp': '2010060318', '+12h_subplot_target_timestamp': '2010060400', '+24h_subplot_target_timestamp': '2010060412', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,27,2010060315,81.0,2010060303,2010060306,2010060309,2010060312,2010060315,108.0,105.0,98.0,90.0,83.0,75.0,70.0,65.0,60.0,2010060321,2010060403,2010060415,91.73,85.53,70.57,93.79,87.98,73.25,108.0,108.0,108.0,"{'+6h_subplot_target_timestamp': '2010060321', '+12h_subplot_target_timestamp': '2010060403', '+24h_subplot_target_timestamp': '2010060415', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,28,2010060318,84.0,2010060306,2010060309,2010060312,2010060315,2010060318,105.0,98.0,90.0,83.0,75.0,70.0,65.0,60.0,55.0,2010060400,2010060406,2010060418,90.66,84.39,69.47,95.9,93.4,84.56,105.0,105.0,105.0,"{'+6h_subplot_target_timestamp': '2010060400', '+12h_subplot_target_timestamp': '2010060406', '+24h_subplot_target_timestamp': '2010060418', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,29,2010060321,87.0,2010060309,2010060312,2010060315,2010060318,2010060321,98.0,90.0,83.0,75.0,70.0,65.0,60.0,55.0,50.0,2010060403,2010060409,2010060421,90.98,85.16,70.98,99.18,97.45,89.82,98.0,98.0,98.0,"{'+6h_subplot_target_timestamp': '2010060403', '+12h_subplot_target_timestamp': '2010060409', '+24h_subplot_target_timestamp': '2010060421', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,30,2010060400,90.0,2010060312,2010060315,2010060318,2010060321,2010060400,90.0,83.0,75.0,70.0,65.0,60.0,55.0,50.0,45.0,2010060406,2010060412,2010060500,99.24,93.51,78.87,100.37,96.35,84.65,90.0,90.0,90.0,"{'+6h_subplot_target_timestamp': '2010060406', '+12h_subplot_target_timestamp': '2010060412', '+24h_subplot_target_timestamp': '2010060500', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,31,2010060403,93.0,2010060315,2010060318,2010060321,2010060400,2010060403,83.0,75.0,70.0,65.0,60.0,55.0,50.0,45.0,43.0,2010060409,2010060415,2010060503,71.03,61.41,43.5,72.63,64.04,46.17,83.0,83.0,83.0,"{'+6h_subplot_target_timestamp': '2010060409', '+12h_subplot_target_timestamp': '2010060415', '+24h_subplot_target_timestamp': '2010060503', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,32,2010060406,96.0,2010060318,2010060321,2010060400,2010060403,2010060406,75.0,70.0,65.0,60.0,55.0,50.0,45.0,43.0,40.0,2010060412,2010060418,2010060506,59.42,52.62,39.47,67.69,58.98,41.1,75.0,75.0,75.0,"{'+6h_subplot_target_timestamp': '2010060412', '+12h_subplot_target_timestamp': '2010060418', '+24h_subplot_target_timestamp': '2010060506', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,33,2010060409,99.0,2010060321,2010060400,2010060403,2010060406,2010060409,70.0,65.0,60.0,55.0,50.0,45.0,43.0,40.0,40.0,2010060415,2010060421,2010060509,51.49,48.89,43.12,62.01,54.58,39.37,70.0,70.0,70.0,"{'+6h_subplot_target_timestamp': '2010060415', '+12h_subplot_target_timestamp': '2010060421', '+24h_subplot_target_timestamp': '2010060509', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,34,2010060412,102.0,2010060400,2010060403,2010060406,2010060409,2010060412,65.0,60.0,55.0,50.0,45.0,43.0,40.0,40.0,40.0,2010060418,2010060500,2010060512,39.56,37.4,33.05,52.35,47.2,36.6,65.0,65.0,65.0,"{'+6h_subplot_target_timestamp': '2010060418', '+12h_subplot_target_timestamp': '2010060500', '+24h_subplot_target_timestamp': '2010060512', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,35,2010060415,105.0,2010060403,2010060406,2010060409,2010060412,2010060415,60.0,55.0,50.0,45.0,43.0,40.0,40.0,40.0,38.0,2010060421,2010060503,2010060515,38.82,37.05,33.18,44.73,41.5,34.57,60.0,60.0,60.0,"{'+6h_subplot_target_timestamp': '2010060421', '+12h_subplot_target_timestamp': '2010060503', '+24h_subplot_target_timestamp': '2010060515', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,36,2010060418,108.0,2010060406,2010060409,2010060412,2010060415,2010060418,55.0,50.0,45.0,43.0,40.0,40.0,40.0,38.0,35.0,2010060500,2010060506,2010060518,39.72,37.85,33.89,49.95,44.51,33.56,55.0,55.0,55.0,"{'+6h_subplot_target_timestamp': '2010060500', '+12h_subplot_target_timestamp': '2010060506', '+24h_subplot_target_timestamp': '2010060518', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,37,2010060421,111.0,2010060409,2010060412,2010060415,2010060418,2010060421,50.0,45.0,43.0,40.0,40.0,40.0,38.0,35.0,35.0,2010060503,2010060509,2010060521,37.46,36.03,33.1,42.56,38.67,30.82,50.0,50.0,50.0,"{'+6h_subplot_target_timestamp': '2010060503', '+12h_subplot_target_timestamp': '2010060509', '+24h_subplot_target_timestamp': '2010060521', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,38,2010060500,114.0,2010060412,2010060415,2010060418,2010060421,2010060500,45.0,43.0,40.0,40.0,40.0,38.0,35.0,35.0,35.0,2010060506,2010060512,2010060600,34.12,33.11,31.25,36.22,34.74,31.53,45.0,45.0,45.0,"{'+6h_subplot_target_timestamp': '2010060506', '+12h_subplot_target_timestamp': '2010060512', '+24h_subplot_target_timestamp': '2010060600', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,39,2010060503,117.0,2010060415,2010060418,2010060421,2010060500,2010060503,43.0,40.0,40.0,40.0,38.0,35.0,35.0,35.0,35.0,2010060509,2010060515,2010060603,34.99,34.43,33.32,33.84,32.5,29.65,43.0,43.0,43.0,"{'+6h_subplot_target_timestamp': '2010060509', '+12h_subplot_target_timestamp': '2010060515', '+24h_subplot_target_timestamp': '2010060603', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,40,2010060506,120.0,2010060418,2010060421,2010060500,2010060503,2010060506,40.0,40.0,40.0,38.0,35.0,35.0,35.0,35.0,35.0,2010060512,2010060518,2010060606,28.9,27.35,24.59,30.65,29.54,27.27,40.0,40.0,40.0,"{'+6h_subplot_target_timestamp': '2010060512', '+12h_subplot_target_timestamp': '2010060518', '+24h_subplot_target_timestamp': '2010060606', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,41,2010060509,123.0,2010060421,2010060500,2010060503,2010060506,2010060509,40.0,40.0,38.0,35.0,35.0,35.0,35.0,35.0,33.0,2010060515,2010060521,2010060609,22.98,21.54,19.16,28.0,26.92,24.81,40.0,40.0,40.0,"{'+6h_subplot_target_timestamp': '2010060515', '+12h_subplot_target_timestamp': '2010060521', '+24h_subplot_target_timestamp': '2010060609', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,42,2010060512,126.0,2010060500,2010060503,2010060506,2010060509,2010060512,40.0,38.0,35.0,35.0,35.0,35.0,35.0,33.0,30.0,2010060518,2010060600,2010060612,20.02,18.79,16.75,27.13,25.97,23.79,40.0,40.0,40.0,"{'+6h_subplot_target_timestamp': '2010060518', '+12h_subplot_target_timestamp': '2010060600', '+24h_subplot_target_timestamp': '2010060612', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,43,2010060515,129.0,2010060503,2010060506,2010060509,2010060512,2010060515,38.0,35.0,35.0,35.0,35.0,35.0,33.0,30.0,30.0,2010060521,2010060603,2010060615,18.99,18.13,17.01,26.09,25.24,23.7,38.0,38.0,38.0,"{'+6h_subplot_target_timestamp': '2010060521', '+12h_subplot_target_timestamp': '2010060603', '+24h_subplot_target_timestamp': '2010060615', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,44,2010060518,132.0,2010060506,2010060509,2010060512,2010060515,2010060518,35.0,35.0,35.0,35.0,35.0,33.0,30.0,30.0,30.0,2010060600,2010060606,2010060618,16.99,16.67,16.39,24.37,24.11,23.77,35.0,35.0,35.0,"{'+6h_subplot_target_timestamp': '2010060600', '+12h_subplot_target_timestamp': '2010060606', '+24h_subplot_target_timestamp': '2010060618', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,45,2010060521,135.0,2010060509,2010060512,2010060515,2010060518,2010060521,35.0,35.0,35.0,35.0,33.0,30.0,30.0,30.0,28.0,2010060603,2010060609,2010060621,18.11,18.16,18.6,24.64,24.21,23.53,35.0,35.0,35.0,"{'+6h_subplot_target_timestamp': '2010060603', '+12h_subplot_target_timestamp': '2010060609', '+24h_subplot_target_timestamp': '2010060621', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,46,2010060600,138.0,2010060512,2010060515,2010060518,2010060521,2010060600,35.0,35.0,35.0,33.0,30.0,30.0,30.0,28.0,25.0,2010060606,2010060612,2010060700,20.22,20.3,20.8,24.93,24.32,23.26,35.0,35.0,35.0,"{'+6h_subplot_target_timestamp': '2010060606', '+12h_subplot_target_timestamp': '2010060612', '+24h_subplot_target_timestamp': '2010060700', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,47,2010060603,141.0,2010060515,2010060518,2010060521,2010060600,2010060603,35.0,35.0,33.0,30.0,30.0,30.0,28.0,25.0,28.0,2010060609,2010060615,2010060703,24.75,24.63,24.68,27.05,26.34,25.02,35.0,35.0,35.0,"{'+6h_subplot_target_timestamp': '2010060609', '+12h_subplot_target_timestamp': '2010060615', '+24h_subplot_target_timestamp': '2010060703', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,48,2010060606,144.0,2010060518,2010060521,2010060600,2010060603,2010060606,35.0,33.0,30.0,30.0,30.0,28.0,25.0,28.0,30.0,2010060612,2010060618,2010060706,25.0,25.13,25.51,27.74,26.95,25.4,35.0,35.0,35.0,"{'+6h_subplot_target_timestamp': '2010060612', '+12h_subplot_target_timestamp': '2010060618', '+24h_subplot_target_timestamp': '2010060706', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
200801I,VSCS Nargis,Held-Out TEST Set,0,2008042606,0.0,2008042518,2008042521,2008042600,2008042603,2008042606,20.0,20.0,20.0,23.0,25.0,25.0,25.0,28.0,30.0,2008042612,2008042618,2008042706,24.07,28.37,38.29,25.46,28.57,34.61,20.0,20.0,20.0,"{'+6h_subplot_target_timestamp': '2008042612', '+12h_subplot_target_timestamp': '2008042618', '+24h_subplot_target_timestamp': '2008042706', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
200801I,VSCS Nargis,Held-Out TEST Set,1,2008042609,3.0,2008042521,2008042600,2008042603,2008042606,2008042609,20.0,20.0,23.0,25.0,25.0,25.0,28.0,30.0,33.0,2008042615,2008042621,2008042709,23.96,27.0,34.03,24.56,27.25,32.5,20.0,20.0,20.0,"{'+6h_subplot_target_timestamp': '2008042615', '+12h_subplot_target_timestamp': '2008042621', '+24h_subplot_target_timestamp': '2008042709', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
200801I,VSCS Nargis,Held-Out TEST Set,2,2008042612,6.0,2008042600,2008042603,2008042606,2008042609,2008042612,20.0,23.0,25.0,25.0,25.0,28.0,30.0,33.0,35.0,2008042618,2008042700,2008042712,24.26,27.12,33.73,24.37,27.04,32.3,20.0,20.0,20.0,"{'+6h_subplot_target_timestamp': '2008042618', '+12h_subplot_target_timestamp': '2008042700', '+24h_subplot_target_timestamp': '2008042712', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
