cyclone_id,storm_name,basin,atcf_id,timestamp,temporal_offset_h,tcir_lat,tcir_lon,tcir_vmax,tcir_mslp,ships_lat,ships_lon,center_dist_km,rsst_c,cohc_kj_cm2,shrd_kt,rhmd_pct,dtl_km
201004I,Super Cyclone Giri,IO,IO042010,2010102221,-3,20.9,94.4,68.0,973.0,20.5,93.8,76.6,29.8,79.0,9.3,81.0,-90.0
201004I,Super Cyclone Giri,IO,IO042010,2010102300,0,21.3,95.0,55.0,982.0,21.3,95.0,0.0,29.1,79.0,11.6,74.0,-242.0
201004I,Super Cyclone Giri,IO,IO042010,2010102303,-3,21.7,95.2,48.0,988.0,21.3,95.0,49.1,29.1,79.0,11.6,74.0,-242.0
201004I,Super Cyclone Giri,IO,IO042010,2010102306,0,22.1,95.5,40.0,993.0,22.1,95.5,0.0,28.7,79.0,13.7,72.0,-338.0
201004I,Super Cyclone Giri,IO,IO042010,2010102309,-3,22.4,95.8,38.0,995.0,22.1,95.5,45.5,28.7,79.0,13.7,72.0,-338.0
201004I,Super Cyclone Giri,IO,IO042010,2010102312,0,22.7,96.2,35.0,996.0,22.7,96.2,0.0,28.3,79.0,14.1,74.0,-436.0
201004I,Super Cyclone Giri,IO,IO042010,2010102315,-3,22.9,96.8,35.0,996.0,22.7,96.2,65.4,28.3,79.0,14.1,74.0,-436.0
201004I,Super Cyclone Giri,IO,IO042010,2010102318,0,23.0,97.4,35.0,996.0,23.0,97.4,0.0,27.9,79.0,,,-551.0
201004I,Super Cyclone Giri,IO,IO042010,2010102321,-3,23.4,98.6,33.0,998.0,23.0,97.4,130.5,27.9,79.0,,,-551.0
201004I,Super Cyclone Giri,IO,IO042010,2010102400,0,23.7,99.8,30.0,1000.0,23.7,99.8,0.0,27.2,79.0,,,-757.0
201403I,Cyclone Hudhud,IO,IO032014,2014100618,0,10.8,95.6,25.0,1004.0,10.8,95.6,0.0,29.5,70.0,15.8,86.0,317.0
201403I,Cyclone Hudhud,IO,IO032014,2014100621,-3,10.9,95.4,25.0,1004.0,10.8,95.6,24.5,29.5,70.0,15.8,86.0,317.0
201403I,Cyclone Hudhud,IO,IO032014,2014100700,0,11.0,95.2,25.0,1004.0,11.0,95.2,0.0,29.5,71.0,16.3,85.0,362.0
201403I,Cyclone Hudhud,IO,IO032014,2014100703,-3,11.1,95.0,25.0,1004.0,11.0,95.2,24.5,29.5,71.0,16.3,85.0,362.0
201403I,Cyclone Hudhud,IO,IO032014,2014100706,0,11.2,94.7,25.0,1004.0,11.2,94.7,0.0,29.5,72.0,16.1,85.0,410.0
201403I,Cyclone Hudhud,IO,IO032014,2014100709,-3,11.3,94.5,28.0,1002.0,11.2,94.7,24.5,29.5,72.0,16.1,85.0,410.0
201403I,Cyclone Hudhud,IO,IO032014,2014100712,0,11.4,94.2,30.0,1000.0,11.4,94.2,0.0,29.5,70.0,16.1,84.0,460.0
201403I,Cyclone Hudhud,IO,IO032014,2014100715,-3,11.6,93.8,30.0,1000.0,11.4,94.2,48.9,29.5,70.0,16.1,84.0,460.0
201403I,Cyclone Hudhud,IO,IO032014,2014100718,0,11.8,93.5,30.0,1000.0,11.8,93.5,0.0,29.5,65.0,19.3,84.0,472.0
201403I,Cyclone Hudhud,IO,IO032014,2014100721,-3,12.0,93.1,33.0,998.0,11.8,93.5,48.9,29.5,65.0,19.3,84.0,472.0
201403I,Cyclone Hudhud,IO,IO032014,2014100800,0,12.2,92.7,35.0,996.0,12.2,92.7,0.0,29.5,61.0,17.3,81.0,456.0
201403I,Cyclone Hudhud,IO,IO032014,2014100803,-3,12.4,92.2,38.0,995.0,12.2,92.7,58.7,29.5,61.0,17.3,81.0,456.0
201403I,Cyclone Hudhud,IO,IO032014,2014100806,0,12.6,91.7,40.0,993.0,12.6,91.7,0.0,29.4,60.0,19.2,79.0,470.0
201403I,Cyclone Hudhud,IO,IO032014,2014100809,-3,12.8,91.2,43.0,991.0,12.6,91.7,58.6,29.4,60.0,19.2,79.0,470.0
201403I,Cyclone Hudhud,IO,IO032014,2014100812,0,13.0,90.7,45.0,989.0,13.0,90.7,0.0,29.5,65.0,20.0,81.0,511.0
201403I,Cyclone Hudhud,IO,IO032014,2014100815,-3,13.2,90.3,48.0,987.0,13.0,90.7,48.7,29.5,65.0,20.0,81.0,511.0
201403I,Cyclone Hudhud,IO,IO032014,2014100818,0,13.3,90.0,50.0,985.0,13.3,90.0,0.0,29.6,69.0,21.1,78.0,551.0
201403I,Cyclone Hudhud,IO,IO032014,2014100821,-3,13.4,89.7,53.0,984.0,13.3,90.0,34.3,29.6,69.0,21.1,78.0,551.0
201403I,Cyclone Hudhud,IO,IO032014,2014100900,0,13.5,89.4,55.0,982.0,13.5,89.4,0.0,29.6,72.0,19.1,76.0,595.0
201403I,Cyclone Hudhud,IO,IO032014,2014100903,-3,13.6,89.2,58.0,980.0,13.5,89.4,24.3,29.6,72.0,19.1,76.0,595.0
201403I,Cyclone Hudhud,IO,IO032014,2014100906,0,13.7,88.9,60.0,978.0,13.7,88.9,0.0,29.7,73.0,19.1,72.0,634.0
201403I,Cyclone Hudhud,IO,IO032014,2014100909,-3,13.8,88.7,60.0,978.0,13.7,88.9,24.3,29.7,73.0,19.1,72.0,634.0
201403I,Cyclone Hudhud,IO,IO032014,2014100912,0,14.0,88.5,60.0,978.0,14.0,88.5,0.0,29.8,72.0,16.4,73.0,661.0
201403I,Cyclone Hudhud,IO,IO032014,2014100915,-3,14.2,88.3,60.0,978.0,14.0,88.5,31.0,29.8,72.0,16.4,73.0,661.0
201403I,Cyclone Hudhud,IO,IO032014,2014100918,0,14.3,88.1,60.0,978.0,14.3,88.1,0.0,29.7,69.0,14.7,73.0,628.0
201403I,Cyclone Hudhud,IO,IO032014,2014100921,-3,14.5,87.9,63.0,976.0,14.3,88.1,31.0,29.7,69.0,14.7,73.0,628.0
