episode_idx,cyclone_id,onset_ts,onset_vmax,peak_actual_dv24,Baseline K=7_rec_trend,Baseline K=7_trend_lag_h,Baseline K=7_rec_ri,Baseline K=7_ri_lag_h,Baseline K=7_max_pred_dv24,Baseline K=7_missed,Variable-K (K=3)_rec_trend,Variable-K (K=3)_trend_lag_h,Variable-K (K=3)_rec_ri,Variable-K (K=3)_ri_lag_h,Variable-K (K=3)_max_pred_dv24,Variable-K (K=3)_missed,Variable-K (K=5)_rec_trend,Variable-K (K=5)_trend_lag_h,Variable-K (K=5)_rec_ri,Variable-K (K=5)_ri_lag_h,Variable-K (K=5)_max_pred_dv24,Variable-K (K=5)_missed,Variable-K (K=7)_rec_trend,Variable-K (K=7)_trend_lag_h,Variable-K (K=7)_rec_ri,Variable-K (K=7)_ri_lag_h,Variable-K (K=7)_max_pred_dv24,Variable-K (K=7)_missed
70,201504S,2014122900,65.0,40.0,0,,0,,9.400000000000006,1,1,6.0,1,9.0,24.5,0,1,9.0,0,,14.900000000000006,0,1,9.0,0,,9.75,0
71,201506W,2015050818,105.0,35.0,1,0.0,1,3.0,20.200000000000003,0,1,0.0,1,0.0,22.439999999999998,0,1,0.0,1,0.0,25.099999999999994,0,1,0.0,1,0.0,22.75,0
72,201516W,2015081518,55.0,60.0,1,0.0,1,0.0,34.3,0,1,0.0,1,0.0,40.06,0,1,0.0,1,0.0,37.5,0,1,0.0,1,0.0,36.44,0
73,201516W,2015082212,75.0,45.0,0,,0,,0.0,1,1,9.0,1,15.0,18.0,0,1,15.0,0,,11.560000000000002,0,0,,0,,-4.25,1
74,201520W,2015091518,40.0,40.0,1,0.0,1,9.0,30.060000000000002,0,1,0.0,1,9.0,41.25,0,1,0.0,1,9.0,23.75,0,1,0.0,1,9.0,25.25,0
75,201525W,2015101606,55.0,30.0,1,6.0,0,,11.099999999999994,0,1,0.0,1,3.0,24.700000000000003,0,1,0.0,1,6.0,24.799999999999997,0,1,0.0,1,6.0,22.439999999999998,0
76,201525W,2015101706,85.0,35.0,1,0.0,1,0.0,19.599999999999994,0,1,0.0,1,0.0,21.400000000000006,0,1,0.0,1,0.0,24.099999999999994,0,1,0.0,1,0.0,22.799999999999997,0
77,201601L,2016011312,45.0,30.0,0,,0,,-3.3400000000000034,1,0,,0,,-7.219999999999999,1,0,,0,,-7.469999999999999,1,0,,0,,-7.969999999999999,1
78,201603E,2016070412,65.0,45.0,1,0.0,1,0.0,30.900000000000006,0,1,0.0,1,0.0,41.900000000000006,0,1,0.0,1,0.0,40.099999999999994,0,1,0.0,1,0.0,39.25,0
79,201612W,2016082303,55.0,40.0,1,12.0,1,15.0,19.439999999999998,0,1,6.0,1,12.0,39.900000000000006,0,1,9.0,1,12.0,32.900000000000006,0,1,9.0,1,12.0,29.560000000000002,0
80,201613S,2016021518,55.0,45.0,0,,0,,0.7800000000000011,1,1,9.0,0,,9.599999999999994,0,0,,0,,2.030000000000001,1,0,,0,,-2.469999999999999,1
81,201614L,2016092906,55.0,75.0,1,18.0,1,27.0,8.439999999999998,0,0,,0,,5.25,1,0,,0,,2.780000000000001,1,0,,0,,4.159999999999997,1
82,201615S,2016031606,65.0,60.0,1,0.0,1,0.0,23.400000000000006,0,1,0.0,1,6.0,16.799999999999997,0,1,0.0,1,6.0,18.900000000000006,0,1,0.0,1,0.0,17.400000000000006,0
83,201616E,2016091106,35.0,50.0,1,0.0,1,0.0,44.06,0,1,0.0,1,0.0,45.0,0,1,0.0,1,0.0,44.900000000000006,0,1,0.0,1,0.0,45.75,0
84,201623W,2016100903,48.0,55.0,1,0.0,1,0.0,38.2,0,1,0.0,1,0.0,34.25,0,1,0.0,1,0.0,33.0,0,1,0.0,1,0.0,34.599999999999994,0
